user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|comment
汐汐她爹|比亚迪F3论坛|3217|差评|方向盘往右打死时偶尔发出“嗒、嗒、嗒”的异响，虽不影响使用，但影响心情――要处理
汐汐她爹|比亚迪F3论坛|3202|差评|从提车后1档进2档就很不好挂，那生涩的感觉就像那啥没一点润滑，那感觉你懂的――要处理
汐汐她爹|比亚迪F3论坛|3212|好评|新三，挺漂亮的，特别是白色的
汐汐她爹|比亚迪F3论坛|3214|好评|试了一下档位，很顺畅，球头也比老款的好看。
wdaizj|比亚迪F3论坛|3280|好评|F3的屁屁~很好看的~
wdaizj|比亚迪F3论坛|3289|好评|后备箱也 大~屁屁也大~车牌子网上选的~死了都要爱~呵呵。
wdaizj|比亚迪F3论坛|3289|好评|储物箱很大~我放了很多东西~里面有本比亚迪手册~看看什么东西都怎么用~关键时候用的上~我是看手册才知道的儿童锁怎么用~受益匪浅。
wdaizj|比亚迪F3论坛|3284|中评|车很好~喜欢~挂1.2档有时候涩~有时候就很顺畅~
wdaizj|比亚迪F3论坛|3292|好评|空调2档我估计挺不了半个小时都要穿衣服~很凉~上次出门2档点了会就换1档了~老婆说太冷。
wdaizj|比亚迪F3论坛|3276|好评|后排空间好大喜欢~上次去北镇4大人2小孩无压力。
人生在跑偏|比亚迪F3论坛|11589|好评|车头还是比较大气
人生在跑偏|比亚迪F3论坛|11579|差评|不过车头俯冲得太厉害，侧面看没有正面看舒服 。
人生在跑偏|比亚迪F3论坛|11574|好评|后挡玻璃感觉好大
人生在跑偏|比亚迪F3论坛|11578|差评|尾部感觉太方正，下面的裙边也有画蛇添足感 。
人生在跑偏|比亚迪F3论坛|11582|好评|侧面线条感觉还是不错
人生在跑偏|比亚迪F3论坛|11576|差评|唯一不太舒服的地方就是车身太高，感觉不协调 。
人生在跑偏|比亚迪F3论坛|11575|差评|F3对比领域后备箱盖。虽说都有装饰板，不过领域的更大，更美观。而且领域的后备箱盖比F3的重太多。用惯了领域感觉F3的后备箱盖是铝做的 。
人生在跑偏|比亚迪F3论坛|11589|好评|新F3的做工还算不错，接缝都比较均匀 。
人生在跑偏|比亚迪F3论坛|11573|好评|到现在车子开了400km，动力够用。
人生在跑偏|比亚迪F3论坛|11576|差评|天窗和车顶不平齐，也许是个例。
人生在跑偏|比亚迪F3论坛|11580|差评|车顶铁皮较薄。
83443cg|比亚迪F3论坛|2781|好评|本人认为本车性价比高，车型比较大。空间大。
83443cg|比亚迪F3论坛|2786|好评|车比较重。开起来比较稳。。。
83443cg|比亚迪F3论坛|2787|差评|另外。减震比较硬，过减速带时候很颠。
83443cg|比亚迪F3论坛|2788|差评|钣金做的不是很好
83443cg|比亚迪F3论坛|2779|差评|漆面也不是很好。
作业只为加精|比亚迪F3论坛|10036|好评|有车门没关或没关严，如果锁车，会有报警声，
作业只为加精|比亚迪F3论坛|10048|好评|没关小灯或大灯熄火，不放手刹开车，都会有报警声提示，减少马大哈的失误，赞一个。
作业只为加精|比亚迪F3论坛|10042|好评|2.车速20自动落锁，熄火自动开锁，赞一个。
作业只为加精|比亚迪F3论坛|10051|好评|这里再说一下，后备箱真大啊！
作业只为加精|比亚迪F3论坛|10035|好评|仪表盘是自发光的，在你打开示宽灯的时候会变暗一点，
作业只为加精|比亚迪F3论坛|10039|好评|发动机3000转，噪音不算大
作业只为加精|比亚迪F3论坛|10048|好评|100码车不飘
作业只为加精|比亚迪F3论坛|10041|好评|舒适性好，一般的小坑没感觉
大姑娘一枚|比亚迪F3论坛|15668|好评|性感的小PP 。
大姑娘一枚|比亚迪F3论坛|15675|好评|我觉得它的线条要比我的好看，哈哈 。
大姑娘一枚|比亚迪F3论坛|15678|好评|扶手箱内部空间还是蛮大的 。
大姑娘一枚|比亚迪F3论坛|15677|好评|看着还挺宽敞的，但是要是太胖的人估计就有点。朋友做上去后看着剩余的空间还挺大，我觉得我朋友就够胖的了，嘘，，别让他听见，哈哈。具体性能方面还是要开上一段时间才有权说，那就说说空间和乘坐感受吧，空间整体不错，前后左右还算舒适，但是后排坐两个人比较合适，坐三个的话就显得有点拥挤了，那个紧凑型的小车不是这样呢？等周末有时间找个好点的地方多拍两张，顺便发个认证贴对了，看车的朋友注意了。。。。
车迷的最爱|比亚迪F3论坛|11146|中评|这张侧脸比较好看 。黑色这么感觉没白色的好看呢 。后屁股中规中矩吧 。前脸还是比较好看的 。
车迷的最爱|比亚迪F3论坛|11153|好评|后备箱空间还是比较大的 。
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£º³µÃÔµÄ×î°®|±ÈÑÇµÏF3ÂÛÌ³|11149|好评|ÎÒ±È½ÏÏ²»¶ËüµÄÂÖì±£¬ºÃ¿´ ¡£
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£º³µÃÔµÄ×î°®|±ÈÑÇµÏF3ÂÛÌ³|11160|好评|ÄÚÊÎ»¹¿ÉÒÔ°É£¬²»ÄÜËµ·Ç³£ºÃ¡£
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£º³µÃÔµÄ×î°®|±ÈÑÇµÏF3ÂÛÌ³|11164|好评|ËäÈ»ºÚÉ«ÊÇ´óÖÚÉ«£¬µ«ÊÇÎÒ¸üÇãÏòÓÚ°×É«»òÕßºìÉ«£¬ÎÒÏ²»¶°×É«£¬ÀÏÆÅÏ²»¶ºìÉ«£¬µêÀïÖ»ÓÐºÚÉ«£¬¹ýÁ½Ìì²ÅÄÜµ½ÆäËûµÄÑÕÉ«£¬ËùÒÔ»¹ÐèÒªÔÚµÈµÈ£¬ÎÒ¸öÈË¾õµÃ£¬Õâ¸öÅäÖÃ¶ÔµÃÆðÕâ¸ö¼Û¸ñ£¬±Ï¾¹¼¸Íò¿éÇ®µÄ³µ£¬Äã²»ÄÜ¶ÔËüÆÚÍûÌ«¸ß£¬ÅäÖÃ×ö¹¤ÈÃÏò´óÖÚ¡¢±¾ÌïÉ¶µÄ£¬Ò²²»ÏÔÊ¾£¬ÎÒ¾õµÃÕâ¸öÅäÖÃ´ú²½À´Ëµ×ã¹»ÁË£¬µÚÒ»´Î½»×÷Òµ£¬»¹¸ÐÐ»¸÷Î»µÄÖ§³Ö~~£¬¹þ¹þ
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£ºÂñÍ·¿à¸É°É|±ÈÑÇµÏF3ÂÛÌ³|12941|好评|ÀÏ¿îµÄF3»¹ÊÇºÜ¾­µäµÄ£¬µ«ÊÇ¸Ð¾õÍâ¹ÛÓÐµã¶ùÌ«ÀÏÆøÁË
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£ºÂñÍ·¿à¸É°É|±ÈÑÇµÏF3ÂÛÌ³|12954|好评|ÏÈÈÃÏúÊÛ¸øÎÒ¿´¿´ºóÅÅ¿Õ¼ä£¬ÒòÎª±Ï¾¹ÊÇ¼ÒÀïÓÐ£¬¿Õ¼ä»¹ÊÇÒªÓÐ±£Ö¤µÄ
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£ºÂñÍ·¿à¸É°É|±ÈÑÇµÏF3ÂÛÌ³|12942|好评|Ç°Ãæ´Ó×ö¹¤ºÍÑùÊ½ÉÏ¶¼±ÈÀÏ¿îµÄºÃÐ©
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£ºÂñÍ·¿à¸É°É|±ÈÑÇµÏF3ÂÛÌ³|12942|好评|´Ó²àÃæ¿´ÏÂ£¬¸Ð¾õ»¹Í¦´óÆøµÄ
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£ºÂñÍ·¿à¸É°É|±ÈÑÇµÏF3ÂÛÌ³|12935|好评|»¹ÊÇÇ°Á³ºÃ¿´
À´×ÔÓÚ£º ×÷Õß£ººÚ²ÝÃ±||7643|好评|¸ß¶Ë´óÆøÉÏµµ´Î£¡ËäÈ»Õâ»°ŒÅË¿ÁËµã£¬µ«µÄÈ·³ÐÔØ×ÅÊÇÎÒµÄÐÄÉù
À´×ÔÓÚ£º ×÷Õß£ººÚ²ÝÃ±||7637|好评|¿Õ¼ä´ó£¬¿ÉÒÔËµÔÚA¼¶³µÖÐ¾ø¶ÔËãÉÏµÈ£¬Í¬ÊÂÓÐ²»ÖªµÀ±ÈÑÇµÏµÄ£¬Ò»¿´Õâ³µ¿Õ¼ä¶¼»á±»Ð¡¾ªÒ»ÏÂ¡£
黑草帽||7650|好评|后尾灯是LED，比一些合资车都要厚道，安全性也好
黑草帽||7650|好评|座椅是皮革的？反正不是织物座椅，挺上档次的
黑草帽||7646|差评|发动机声音是硬伤吧，这个价位的车咱也就不用要求太高了。
黑草帽||7654|差评|再就是车漆太软了，没刮碰就好多痕了
黑草帽||7654|差评|倒档经常不好挂，不知道车友们有没有同感，经常挂不上，好像卡在肉里了一样，是质量问题吗？
黑草帽||7656|差评|无化妆镜，后备箱没灯，有时候蛮不方便的，其实这几个都小钱呀，真心可以有的哦
洋芋爹|比亚迪F3论坛|128636|中评|平均油耗只有7.5
洋芋爹|比亚迪F3论坛|128630|中评|高速上直接就只有5L多一点
洋芋爹|比亚迪F3论坛|128633|好评|但是发动机在我把车送到别人手上时仍然没有任何一点异响，一如既往地安静。
洋芋爹|比亚迪F3论坛|128626|好评|高速路上超车完全不是问题，轻松上130。
洋芋爹|比亚迪F3论坛|128638|好评|内饰质量也还行。不知是个人保养的原因还是别的，但是车子在我卖出去之前，内饰仍然是像新的一样。对了，我从没垫过什么坐垫
洋芋爹|比亚迪F3论坛|128639|差评|车皮太薄
洋芋爹|比亚迪F3论坛|128644|差评|车辆防锈有待提高。
洋芋爹|比亚迪F3论坛|128626|差评|底盘太薄
洋芋爹|比亚迪F3论坛|128634|差评|全车隔音很差。这个不用我说了。
GTI2014|比亚迪F3论坛|9463|好评|发动机的声音听着还可以
GTI2014|比亚迪F3论坛|9465|好评|手套箱，够大。一直都是空空的。
GTI2014|比亚迪F3论坛|9466|好评|后排三条安全带，算比较厚道。
GTI2014|比亚迪F3论坛|9473|差评|缝隙是不是很大？还有那细细的门铰链。
GTI2014|比亚迪F3论坛|9466|好评|扶手箱挺深的。储物格完全够我用
GTI2014|比亚迪F3论坛|9472|好评|仿真皮座椅，坐着还挺舒服。
GTI2014|比亚迪F3论坛|1462|差评|噪音大
GTI2014|比亚迪F3论坛|1457|差评|隔音太差
GTI2014|比亚迪F3论坛|1454|好评|有空间（够用
GTI2014|比亚迪F3论坛|1470|好评|还省油
GTI2014|比亚迪F3论坛|1460|差评|没想到F3比捷达动力要差
GTI2014|比亚迪F3论坛|1454|好评|即便是仿卡罗拉，经过我小改后外观现看起来都还不错
GTI2014|比亚迪F3论坛|1447|好评|操控还行
GTI2014|比亚迪F3论坛|1467|好评|动力随叫随到，穿梭自如
GTI2014|比亚迪F3论坛|1449|好评|不过上到100公里每小时就明显乏力，而且转速高。
GTI2014|比亚迪F3论坛|1459|差评|档把不好用
GTI2014|比亚迪F3论坛|1467|中评|正面，不彪悍，不圆滑
GTI2014|比亚迪F3论坛|1462|中评|中庸
GTI2014|比亚迪F3论坛|1471|中评|低调
GTI2014|比亚迪F3论坛|1457|差评|大灯。真的是太暗太暗了。
GTI2014|比亚迪F3论坛|1455|中评|铁质轮毂，当初被买车的喜悦冲昏了头，没有太在意，导致一年后铁轮毂成为外观最大的败笔
汐汐她爹|比亚迪F3论坛|1645|好评|空间大
汐汐她爹|比亚迪F3论坛|1656|好评|外形中庸耐看
汐汐她爹|比亚迪F3论坛|1650|差评|感觉做完首保后噪音比首保前反而更大了，咨询过坛友说是机油问题，二保时去4S问问。
汐汐她爹|比亚迪F3论坛|1667|差评|内饰做工欠佳，内拉手毛刺多，手套箱及方向盘接缝能塞进手指；
汐汐她爹|比亚迪F3论坛|1655|差评|车漆太薄，前车溅起的小石子砸到门板上立刻掉漆；
汐汐她爹|比亚迪F3论坛|1655|差评|换档感觉生涩，别说吸入感，行车中挂1档、2档以及1档进2档要用吃奶的力气（ 离合到底，2000换档）4S说是正常现象
汐汐她爹|比亚迪F3论坛|1666|差评|噪音大，但不影响车内交谈
汐汐她爹|比亚迪F3论坛|1650|好评|外观耐看，本人并非外貌协会的，但整车看起来还是比较协调
汐汐她爹|比亚迪F3论坛|1658|好评|空间上乘，春节走亲戚，塞进6大1小表示没压力，坐过同事的307，小三的后排完胜307
汐汐她爹|比亚迪F3论坛|1665|好评|1.5的动力对于家用足够，超个车只要提前减档舍得给油，绝不含糊
汐汐她爹|比亚迪F3论坛|1659|好评|高速稳，这应该是得益于195的轮胎和1吨2的车重，高速上超个大货一点都不摇晃
yao881m5|比亚迪F3论坛|4485|差评|起步的时候发动机声音真难听啊，跑起来后还好听点
yao881m5|比亚迪F3论坛|4489|好评|外观很喜欢，近看的时候越看越耐看，远看不好看，
yao881m5|比亚迪F3论坛|4485|好评|挂档也很顺！
可乐256|比亚迪F3论坛|2201|差评|隔音差，四门电动窗放下有异响，关上没事，四门下面有生锈的痕迹
可乐256|比亚迪F3论坛|2199|好评|自主的发动机感觉还行，提速挺快的。
可乐256|比亚迪F3论坛|2192|差评|做工差，前机器盖和尾厢盖缝隙大，不均匀
可乐256|比亚迪F3论坛|2185|差评|漆面太薄，树枝就能刮花，洗车都不敢使劲。
可乐256|比亚迪F3论坛|2183|好评|外观还行
Meredith1z|比亚迪F3论坛|6415|差评|现在发动机各方面都很好，运行很平稳，不过动力有点小，提速肉
Meredith1z|比亚迪F3论坛|6406|中评|油耗，市内跑8。5
Meredith1z|比亚迪F3论坛|6414|中评|高速5。5
独立寒峰|比亚迪F3论坛|415|中评|本人3月最后一天买的车，现在还在磨合期，跑郊区的时候比较多，到现在1000公里，平均油耗6.5L/百公里。
独立寒峰|比亚迪F3论坛|415|中评|如果是上下班的话，主要是郊区，也就在6个油左右
独立寒峰|比亚迪F3论坛|409|好评|倒车影像和右前轮的影像非常适合我这样的新手
可可不可|比亚迪F3论坛|356|好评|开着感觉挺好，作为新手很好开，感觉不到顿挫（朋友开丰田佳美4at,他说升降挡真好没感觉，比他的平顺多了，说悬挂也可以），
可可不可|比亚迪F3论坛|358|好评|升档平顺，本人感觉不到顿挫。
可可不可|比亚迪F3论坛|352|好评|悬挂舒适，平稳，没有散的感觉
可可不可|比亚迪F3论坛|344|好评|坐我车的都说内饰漂亮（都是亲属）。
可可不可|比亚迪F3论坛|347|好评|噪音，没跑高速，没体会，在市区完全可以接受。
可可不可|比亚迪F3论坛|357|好评|动力没得说，有劲。
可可不可|比亚迪F3论坛|350|好评|刹车灵敏，一点就有。
可可不可|比亚迪F3论坛|345|好评|电视很给力，我女儿坐上就不愿下来。
cknet1973|比亚迪F3论坛|1994|差评|上车后调整座椅，开出大门，按照销售的指引的道路行驶，道路有些拥堵，在缓慢的行驶过程中，感觉这个双离合的变速箱在走走停停的过程中，类似于手动挡的硬联接，不是太平顺，估计是这种类型的变速箱的特点吧
cknet1973|比亚迪F3论坛|1991|好评|当道路开阔时候，可以给油加速的时候，就顺滑很多，换挡没啥明显感觉，加速很好，感觉不到涡轮启动时扭矩突然加大的突兀，但是车速就直接上去了，拉了2个销售，一共3个人上坡不吃力。
cknet1973|比亚迪F3论坛|1986|差评|回到店里，倒车回车位时，发现倒车影像不是很清晰，摄像头的分辨率明显不高，但无大碍，
cknet1973|比亚迪F3论坛|1993|好评|配置很丰富
cknet1973|比亚迪F3论坛|1994|中评|操控一般
cknet1973|比亚迪F3论坛|1992|好评|动力没的说，这个车很对得起这个价格。
吴金峰|比亚迪F3论坛|13283|中评|目前开了800公里，累计油耗7.0
吴金峰|比亚迪F3论坛|13294|好评|空间大,比马6、新君威都大，
吴金峰|比亚迪F3论坛|13296|好评|真皮座椅非常舒适，只是没有侧面包裹
吴金峰|比亚迪F3论坛|13279|中评|内饰用硬塑料一般，但还过得去，
吴金峰|比亚迪F3论坛|13298|好评|地盘还算扎实。
吴金峰|比亚迪F3论坛|13296|好评|内饰漂亮
吴金峰|比亚迪F3论坛|13284|好评|座椅舒服
吴金峰|比亚迪F3论坛|13286|差评|轮胎轮眉间隙不是一点点大
吴金峰|比亚迪F3论坛|13289|差评|灯是卤素的，不够亮，
吴金峰|比亚迪F3论坛|13296|差评|异响问题依然存在，门板异响严重 ，
吴金峰|比亚迪F3论坛|13309|差评|噪音大
吴金峰|比亚迪F3论坛|13300|差评|风燥有点大
吴金峰|比亚迪F3论坛|13292|好评|我感觉整车减震效果做的非常好，坐在车内舒适度极高！
Huanglexing|比亚迪F3论坛|1461|差评|新车1000km的时候后面密封胶条有点问题, 重新打胶.
Huanglexing|比亚迪F3论坛|1469|差评|几千公里的时候怠速不稳, 空档等红灯的时候发动机转速无故上升, 更换怠速马达后解决
Huanglexing|比亚迪F3论坛|1471|差评|2万公里的时候, 前轮异响, 经查是前避震漏油, 免费更换. 出保后一次4s保养, 发现一个后避震轻微漏油,花钱更换
猫了个咪|比亚迪F3论坛|881|中评|车外观中规中矩，没什么出彩的地方也没什么难看的地方
猫了个咪|比亚迪F3论坛|881|好评|内饰我个人比较喜欢，比较前卫富有科技感
猫了个咪|比亚迪F3论坛|881|好评|做工也不错，
猫了个咪|比亚迪F3论坛|884|好评|前排空间足够，后排如果坐三个人略挤，宽度稍显不足
猫了个咪|比亚迪F3论坛|879|好评|隔音效果不错，车里基本听不到发动机声音。
猫了个咪|比亚迪F3论坛|876|好评|加速就一个字，爽！！
猫了个咪|比亚迪F3论坛|1309|好评|车内空间大，我觉得比A级车大，应该跟B级车差不多；
猫了个咪|比亚迪F3论坛|1321|好评|车内隔音效果好，听不到啥噪音
猫了个咪|比亚迪F3论坛|1317|好评|空调制冷效果很好也很快
猫了个咪|比亚迪F3论坛|1333|好评|加速很快，应该跟宣传的一样，零到百公里加速可以达到8.9秒，更重要的是换挡时间短，而且非常平顺，完全感觉不到换挡带来的冲击感和顿挫感；
猫了个咪|比亚迪F3论坛|1317|好评|电子配置多，尤其音响效果的确不错，在车内很有感觉，喜欢听音乐的老婆很是喜欢；
猫了个咪|比亚迪F3论坛|1322|好评|动力强，
海东的海|比亚迪F3论坛|3133|好评|试驾的中段测试了一下常规急加速，但我只是常规起步，1档拉到两千多换2档三千多进3档随后继续提高转速破百，后来由于路况问题开始减速，整个加速过程很顺畅，丝毫没有像F3现在这样给油门但感觉发动机不给力的情况，发动机的转速一直对油门的加深有强烈的响应，测试过程未达到地板油，行驶过程中换挡未发现轮胎打滑情况。
